JD,Date
23.260488510131836,2015-08-20 00:00:00-04:00
23.400609970092773,2015-08-21 00:00:00-04:00
22.35435676574707,2015-08-24 00:00:00-04:00
23.409954071044922,2015-08-25 00:00:00-04:00
23.90505599975586,2015-08-26 00:00:00-04:00
25.315629959106445,2015-08-27 00:00:00-04:00
25.007360458374023,2015-08-28 00:00:00-04:00
24.17595863342285,2015-08-31 00:00:00-04:00
23.241804122924805,2015-09-01 00:00:00-04:00
23.23246192932129,2015-09-02 00:00:00-04:00
22.802751541137695,2015-09-03 00:00:00-04:00
21.308101654052734,2015-09-04 00:00:00-04:00
22.3730411529541,2015-09-08 00:00:00-04:00
23.045631408691406,2015-09-09 00:00:00-04:00
22.59723663330078,2015-09-10 00:00:00-04:00
22.662628173828125,2015-09-11 00:00:00-04:00
22.61591911315918,2015-09-14 00:00:00-04:00
23.335220336914062,2015-09-15 00:00:00-04:00
25.212873458862305,2015-09-16 00:00:00-04:00
25.82007598876953,2015-09-17 00:00:00-04:00
24.689746856689453,2015-09-18 00:00:00-04:00
24.26937484741211,2015-09-21 00:00:00-04:00
23.858346939086914,2015-09-22 00:00:00-04:00
22.77472496032715,2015-09-23 00:00:00-04:00
23.67151641845703,2015-09-24 00:00:00-04:00
24.23200798034668,2015-09-25 00:00:00-04:00
23.064315795898438,2015-09-28 00:00:00-04:00
22.821434020996094,2015-09-29 00:00:00-04:00
24.34410858154297,2015-09-30 00:00:00-04:00
24.755138397216797,2015-10-01 00:00:00-04:00
27.006452560424805,2015-10-02 00:00:00-04:00
26.885013580322266,2015-10-05 00:00:00-04:00
25.885465621948242,2015-10-06 00:00:00-04:00
25.726659774780273,2015-10-07 00:00:00-04:00
25.52114486694336,2015-10-08 00:00:00-04:00
26.53937530517578,2015-10-09 00:00:00-04:00
26.828962326049805,2015-10-12 00:00:00-04:00
25.138139724731445,2015-10-13 00:00:00-04:00
23.839662551879883,2015-10-14 00:00:00-04:00
24.53093910217285,2015-10-15 00:00:00-04:00
25.119455337524414,2015-10-16 00:00:00-04:00
25.306289672851562,2015-10-19 00:00:00-04:00
24.78316307067871,2015-10-20 00:00:00-04:00
24.297401428222656,2015-10-21 00:00:00-04:00
24.474891662597656,2015-10-22 00:00:00-04:00
25.315629959106445,2015-10-23 00:00:00-04:00
25.072750091552734,2015-10-26 00:00:00-04:00
25.83875846862793,2015-10-27 00:00:00-04:00
25.857440948486328,2015-10-28 00:00:00-04:00
25.866783142089844,2015-10-29 00:00:00-04:00
25.801393508911133,2015-10-30 00:00:00-04:00
26.763572692871094,2015-11-02 00:00:00-05:00
27.436166763305664,2015-11-03 00:00:00-05:00
27.342750549316406,2015-11-04 00:00:00-05:00
26.903696060180664,2015-11-05 00:00:00-05:00
27.74443817138672,2015-11-06 00:00:00-05:00
26.866331100463867,2015-11-09 00:00:00-05:00
26.343202590942383,2015-11-10 00:00:00-05:00
26.04427146911621,2015-11-11 00:00:00-05:00
26.885013580322266,2015-11-12 00:00:00-05:00
