MU,Date
0.7705093622207642,1985-07-31 00:00:00-04:00
0.8307054042816162,1985-08-01 00:00:00-04:00
0.8668229579925537,1985-08-02 00:00:00-04:00
0.8909014463424683,1985-08-05 00:00:00-04:00
0.8668229579925537,1985-08-06 00:00:00-04:00
0.8668229579925537,1985-08-07 00:00:00-04:00
0.8307054042816162,1985-08-08 00:00:00-04:00
0.8668229579925537,1985-08-09 00:00:00-04:00
0.8668229579925537,1985-08-12 00:00:00-04:00
0.8668229579925537,1985-08-13 00:00:00-04:00
0.8547838926315308,1985-08-14 00:00:00-04:00
0.8307054042816162,1985-08-15 00:00:00-04:00
0.8186662793159485,1985-08-16 00:00:00-04:00
0.8066270351409912,1985-08-19 00:00:00-04:00
0.8066270351409912,1985-08-20 00:00:00-04:00
0.8427445888519287,1985-08-21 00:00:00-04:00
0.8307054042816162,1985-08-22 00:00:00-04:00
0.8307054042816162,1985-08-23 00:00:00-04:00
0.8066270351409912,1985-08-26 00:00:00-04:00
0.7945878505706787,1985-08-27 00:00:00-04:00
0.7343916893005371,1985-08-28 00:00:00-04:00
0.7103133201599121,1985-08-29 00:00:00-04:00
0.7103133201599121,1985-08-30 00:00:00-04:00
0.7343916893005371,1985-09-03 00:00:00-04:00
0.7464308142662048,1985-09-04 00:00:00-04:00
0.7343916893005371,1985-09-05 00:00:00-04:00
0.7103133201599121,1985-09-06 00:00:00-04:00
0.6982742547988892,1985-09-09 00:00:00-04:00
0.6862349510192871,1985-09-10 00:00:00-04:00
0.7103133201599121,1985-09-11 00:00:00-04:00
0.6982742547988892,1985-09-12 00:00:00-04:00
0.7103133201599121,1985-09-13 00:00:00-04:00
0.7103133201599121,1985-09-16 00:00:00-04:00
0.6741955876350403,1985-09-17 00:00:00-04:00
0.6862349510192871,1985-09-18 00:00:00-04:00
0.7223525047302246,1985-09-19 00:00:00-04:00
0.7223525047302246,1985-09-20 00:00:00-04:00
0.7223525047302246,1985-09-23 00:00:00-04:00
0.7103133201599121,1985-09-24 00:00:00-04:00
0.7103133201599121,1985-09-25 00:00:00-04:00
0.6741955876350403,1985-09-26 00:00:00-04:00
0.6741955876350403,1985-09-30 00:00:00-04:00
0.6260389685630798,1985-10-01 00:00:00-04:00
0.6260389685630798,1985-10-02 00:00:00-04:00
0.6139997243881226,1985-10-03 00:00:00-04:00
0.6139997243881226,1985-10-04 00:00:00-04:00
0.5899212956428528,1985-10-07 00:00:00-04:00
0.577881932258606,1985-10-08 00:00:00-04:00
0.5297253131866455,1985-10-09 00:00:00-04:00
0.4695291221141815,1985-10-10 00:00:00-04:00
0.44545072317123413,1985-10-11 00:00:00-04:00
0.49360761046409607,1985-10-14 00:00:00-04:00
0.4815683662891388,1985-10-15 00:00:00-04:00
0.49360761046409607,1985-10-16 00:00:00-04:00
0.4815683662891388,1985-10-17 00:00:00-04:00
0.44545072317123413,1985-10-18 00:00:00-04:00
0.3852546811103821,1985-10-21 00:00:00-04:00
0.3852546811103821,1985-10-22 00:00:00-04:00
0.40933313965797424,1985-10-23 00:00:00-04:00
0.457489937543869,1985-10-24 00:00:00-04:00
0.4695291221141815,1985-10-25 00:00:00-04:00
0.43341147899627686,1985-10-28 00:00:00-05:00
0.43341147899627686,1985-10-29 00:00:00-05:00
0.42137229442596436,1985-10-30 00:00:00-05:00
0.43341147899627686,1985-10-31 00:00:00-05:00
0.457489937543869,1985-11-01 00:00:00-05:00
